Name,Type,Description,Method,Address,Parameter,Return
API List,api,API 목록,GET,/api,,
Sign in,user,로그인,POST,/users/signin,"id, pw","{user, result: Boolean}"
Sign out,user,로그아웃,POST,/users/signout,,{result: Boolean}
Sign up,user,회원가입,POST,/users/signup,"id, pw, name, detail, phone",{result: Boolean}
User name,user,사용자 이름,GET,/users/name/:userId,,"{result: Boolean, name: String}"
Class Info,class,강의 정보,GET,/class/info/:classId,,"[{class, result: Boolean}, ...]"
Main class,class,"강의 목록 (메인 페이지, 8)",GET,/class/main,,"[{class, result: Boolean}, ...]"
All class,class,"강의 목록 (검색 페이지, 16)",GET,/class/all,,"[{class, result: Boolean}, ...]"
Class category list,class,강의 종류(카테고리) 목록,GET,/class/category/list,,"[{name: String, result: Boolean}, classCategory...]"
Class classification by category,class,강의 종류(카테고리)별 강의 리스트,GET,/class/category/:classCategory,,"[{class, result: Boolean}, ...]"
Search class,class,강의 조회(검색),GET,/class/search/:query,,"[{class, result: Boolean}, ...]"
Class enrolment,class,수강 신청,POST,/class/enrol/:classId,/login required/,{result: Boolean}
Taking class,class,수강 중인 내 강의,GET,/class/my,/login required/,"[{class, result: Boolean}, ...]"
Teach class,class,내가 만든 강의,GET,/class/my/teach,/login required/,
Class create,class,새 강의 생성,POST,/class/create,"name, detail, category, image(String), /login required/",{result: Boolean}
Class update,class,기존 강의 정보 변경,POST,/class/update/:classId,"name, detail, category, image(String), /login required/",{result: Boolean}
Class delete,class,강의 삭제,DELETE,/class/delete/:classId,/login required/,{result: Boolean}
Is Before Taking class,class,수강 신청 전인 학습인지 확인,GET,/class/isBefore/:classId,/login required/,{result: Boolean}
Class process,class,학습 과정(강의 진도),GET,/class/process/:userId/:classId ,,"[{process, result: Boolean}, ...]"
Class notice,class,강의별 공지,GET,/class/notice/class/:classId,,"[{notice, result: Boolean}, ...]"
Class notice create,class,강의 공지 작성,POST,/class/notice/create,"classId, title, contents, /login required/",{result: Boolean}
Class notice update,class,강의 공지 수정,POST,/class/notice/update/:id,"title, contents, /login required/",{result: Boolean}
Class notice read,class,강의 공지 열람,GET,/class/notice/read/:id,,{notice}
Class notice delete,class,강의 공지 삭제,DELETE,/class/notice/delete/:id,/login required/,{result: Boolean}
Class content,class,강의 컨텐츠(수강),GET,/class/contents/:classId/:contentId,,"{content, result: Boolean}"
Class contents list,class,강의 컨텐츠 목록,GET,/class/contents/:classId,,"[{content}, ...]"
Class video done,class,강의 영상 수강 완료,POST,/class/done/video,"classId, contentId, /login required/",{result: Boolean}
Class test done,class,강의 시험 제출,POST,/class/done/test,"classId, contentId, answer[], /login required/",{result: Boolean}
Class test score done,class,강의 시험 채점,POST,/class/done/test/score,"classId, contentId, score, feedback, /login required/",{result: Boolean}
Completed classes list,class,완료된 강의 리스트 조회,GET,/class/complete/list/:userId,,"[{class, result: Boolean}, ...]"
IsCompleted class,class,완료된 강의인지 확인,GET,/class/complete/:userId/:classId,,"{isCompleted: Boolean, result: Boolean}"
All processes in blockchain,contract,블록체인에 저장된 모든 학습 과정 조회,GET,/contract/process/all,,"[{classId, contentId, userId, date, state, score, feedback}, ...]"
Process in blockchain,contract,블록체인에 저장된 학습 과정 조회,GET,/contract/process/read/:classId/:contentId/:userId,,"{classId, contentId, userId, date, state, score, feedback}"
All classes in blockchain,contract,블록체인에 저장된 모든 수료 강의 조회,GET,/contract/class/all,,"[{userId, classId, completedDate, name, detail, teacher, category}, ...]"
Class in blockchain,contract,블록체인에 저장된 수료 강의 조회,GET,/contract/class/read/:userId/:classId,,"{userId, classId, completedDate, name, detail, teacher, category}"
